Comment,Designator,Footprint,LCSC
4.7K,"R1,R2,R3,R5,R6",R_0402_1005Metric,C105871
560K,R4,R_0402_1005Metric,C131605
Conn_01x06_Male,J1,JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal,C133065
0.1u,"C6,C7,C8",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C141382
10u,C3,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C15525
C202424,"SW1,SW2",SW_SPST_SKQG_WithStem,C202424
1u,"C1,C2",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C215803
SS14,D1,D_SMA,C2480
4.7u,C5,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C412302
2.2u,C4,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C501836
