Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,96.2152,-84.328,0.0,top
C2,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,101.7016,-84.328,0.0,top
C3,10u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,105.124,-100.7364,180.0,top
C4,2.2u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,85.894,-102.500165,-90.0,top
C5,4.7u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,88.54,-102.500165,-90.0,top
C6,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,87.122,-102.500165,-90.0,top
C7,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,87.122,-114.808,0.0,top
C8,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,107.811835,-114.702,180.0,top
D1,SS14,D_SMA,107.41,-103.5304,180.0,top
J1,Conn_01x06_Male,JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal,97.5106,-118.618,180.0,top
R1,4.7K,R_0402_1005Metric,98.806,-104.2924,0.0,top
R2,4.7K,R_0402_1005Metric,96.266,-104.2924,180.0,top
R3,4.7K,R_0402_1005Metric,107.664,-100.7364,0.0,top
R4,560K,R_0402_1005Metric,84.582,-102.616,-90.0,top
R5,4.7K,R_0402_1005Metric,89.662,-114.3,-90.0,top
R6,4.7K,R_0402_1005Metric,105.282,-114.3,-90.0,top
SW1,C202424,SW_SPST_SKQG_WithStem,88.0,-110.236,0.0,top
SW2,C202424,SW_SPST_SKQG_WithStem,106.934,-110.236,0.0,top
