Comment,Designator,Footprint,LCSC
4.7K,"R1,R5,R6",R_0402_1005Metric,C105871
BAT760-7,D2,D_SOD-323F,C124187
10K,"R2,R3,R4",R_0402_1005Metric,C140214
SS8050-G,"Q1,Q2",SOT-23-3,C164885
0.1u,"C3,C5,C6,C7",C_0402_1005Metric,C2180807
Conn_01x06_Male,"J2,J3",JST_GH_BM06B-GHS-TBT_1x06-1MP_P1.25mm_Vertical,C495534
Conn_01x03_Male,J4,JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal,C514175
AMS1117-3.3,U1,SOT-223-3_TabPin2,C6186
ESP32-WROOM-E,U2,ESP32-WROOM-32E,C701343
22u,"C1,C2,C4",C_0805_2012Metric,C76634
RED LED,D1,LED_0603_1608Metric,C84263
Conn_01x01,J1,SolderWire-0.25sqmm_1x01_D0.65mm_OD2mm,
MountingHole,H2,MountingHole_2.2mm_M2,
MountingHole,H1,MountingHole_2.2mm_M2,
MountingHole,H4,MountingHole_2.2mm_M2,
C520860,SW1,SW_SPST_CK_RS282G05A3,
C520860,SW2,SW_SPST_CK_RS282G05A3,
MountingHole,H3,MountingHole_2.2mm_M2,
