Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22u,C_0805_2012Metric,103.1748,-88.2904,180.0,top
C2,22u,C_0805_2012Metric,98.0948,-80.1624,-90.0,top
C3,0.1u,C_0402_1005Metric,84.6684,-66.7004,0.0,top
C4,22u,C_0805_2012Metric,82.2808,-63.5,0.0,top
C5,0.1u,C_0402_1005Metric,81.8236,-65.278,0.0,top
C6,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,107.4928,-93.5228,90.0,top
C7,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,87.4268,-93.472,90.0,top
D1,RED LED,LED_0603_1608Metric,110.9472,-92.8624,90.0,top
D2,BAT760-7,D_SOD-323F,92.964,-80.6196,180.0,top
J2,Conn_01x06_Male,JST_GH_BM06B-GHS-TBT_1x06-1MP_P1.25mm_Vertical,111.76,-84.455,-90.0,top
J3,Conn_01x06_Male,JST_GH_BM06B-GHS-TBT_1x06-1MP_P1.25mm_Vertical,83.312,-84.455,90.0,top
J4,Conn_01x03_Male,JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal,97.536,-97.536,0.0,top
Q1,SS8050-G,SOT-23-3,93.0656,-83.6676,0.0,top
Q2,SS8050-G,SOT-23-3,92.71,-87.63,0.0,top
R1,4.7K,R_0402_1005Metric,112.4712,-91.5416,-90.0,top
R2,10K,R_0402_1005Metric,81.873159,-66.674,0.0,top
R3,10K,R_0402_1005Metric,88.4428,-87.0712,90.0,top
R4,10K,R_0402_1005Metric,88.5444,-84.7852,90.0,top
R5,4.7K,R_0402_1005Metric,107.4928,-91.1352,-90.0,top
R6,4.7K,R_0402_1005Metric,87.4268,-91.1352,-90.0,top
SW1,C520860,SW_SPST_CK_RS282G05A3,104.8004,-94.488,90.0,top
SW2,C520860,SW_SPST_CK_RS282G05A3,90.17,-94.488,90.0,top
U1,AMS1117-3.3,SOT-223-3_TabPin2,103.4288,-82.7024,90.0,top
U2,ESP32-WROOM-E,ESP32-WROOM-32E,97.536,-64.492,0.0,top
